"","workclass","marital_status","occupation","relationship","race","sex","native_country","income","age","education_num","hours_per_week","capital"
"581","Private","Married","Transport-moving","Husband","White","Male","USA",">50K",46,9,44,15024
"582","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",47,14,50,15024
"583","Private","Married","Machine-op-inspct","Husband","White","Male","Other",">50K",36,3,40,7298
"584","Private","Married","Transport-moving","Husband","White","Male","USA",">50K",36,9,60,7298
"585","Private","Never-married","Craft-repair","Not-in-family","White","Male","USA","<=50K",24,12,40,2354
"586","Local-gov","Married","Adm-clerical","Husband","White","Male","USA",">50K",54,14,40,7298
"587","Local-gov","Married","Other-service","Wife","White","Female","USA","<=50K",29,9,40,2635
"588","Private","Never-married","Adm-clerical","Own-child","White","Female","USA","<=50K",39,10,45,2174
"589","Self-emp-inc","Married","Sales","Husband","White","Male","USA",">50K",47,13,60,15024
"590","Self-emp-not-inc","Separated","Farming-fishing","Not-in-family","White","Male","USA","<=50K",35,10,60,4101
"591","Private","Married","Craft-repair","Husband","White","Male","USA","<=50K",32,9,40,3781
"592","Private","Divorced","Sales","Not-in-family","White","Male","USA",">50K",33,16,60,99999
"593","Local-gov","Divorced","Prof-specialty","Unmarried","White","Female","USA",">50K",41,14,36,7430
"594","Self-emp-not-inc","Married","Sales","Husband","White","Male","USA",">50K",36,10,20,99999
"595","Private","Divorced","Exec-managerial","Not-in-family","White","Male","USA",">50K",51,13,50,14084
"596","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",63,9,40,99999
"597","Private","Married","Other-service","Husband","Black","Male","USA","<=50K",39,7,37,2635
"598","Federal-gov","Married","Adm-clerical","Husband","White","Male","USA",">50K",43,13,40,7298
"599","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",38,15,70,99999
"600","Federal-gov","Married","Prof-specialty","Husband","White","Male","USA","<=50K",38,13,40,4064
"601","Private","Separated","Other-service","Not-in-family","White","Female","USA","<=50K",43,9,40,4101
"602","Private","Married","Adm-clerical","Husband","White","Male","USA",">50K",37,11,40,7688
"603","Private","Married","Exec-managerial","Husband","White","Male","USA","<=50K",32,10,40,3464
"604","Local-gov","Never-married","Prof-specialty","Not-in-family","White","Female","USA","<=50K",26,14,40,2174
"605","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",37,10,50,3103
"606","Private","Separated","Craft-repair","Unmarried","White","Male","USA",">50K",40,10,47,4934
"607","Private","Never-married","Prof-specialty","Not-in-family","White","Male","USA",">50K",37,13,40,10520
"608","Local-gov","Married","Prof-specialty","Husband","White","Male","USA",">50K",47,14,60,7688
"609","Self-emp-not-inc","Married","Other-service","Husband","White","Male","USA",">50K",58,9,55,7688
"610","Private","Widowed","Adm-clerical","Not-in-family","White","Female","USA","<=50K",69,10,24,2050
"611","Private","Married","Machine-op-inspct","Husband","White","Male","USA",">50K",33,9,56,99999
"612","Self-emp-not-inc","Married","Farming-fishing","Husband","White","Male","USA","<=50K",36,10,8,3456
"613","Self-emp-not-inc","Divorced","Craft-repair","Not-in-family","White","Male","USA","<=50K",29,10,50,2202
"614","Private","Divorced","Craft-repair","Not-in-family","White","Male","USA",">50K",41,9,44,13550
"615","Private","Never-married","Adm-clerical","Not-in-family","White","Female","USA","<=50K",26,6,40,2907
"616","Local-gov","Married","Prof-specialty","Husband","White","Male","USA",">50K",36,9,40,15024
"617","Private","Married","Craft-repair","Husband","White","Male","USA","<=50K",36,9,55,3908
"618","Local-gov","Married","Tech-support","Wife","White","Female","USA",">50K",37,10,36,7298
"619","Private","Married","Prof-specialty","Wife","White","Female","Other",">50K",35,13,8,7298
"620","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",39,13,40,7298
"621","Private","Never-married","Sales","Not-in-family","White","Male","USA","<=50K",31,8,50,4650
"622","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",58,10,45,7688
"623","Self-emp-not-inc","Married","Craft-repair","Husband","White","Male","USA",">50K",35,9,40,3103
"624","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",34,14,55,7688
"625","Federal-gov","Never-married","Exec-managerial","Unmarried","Asian-Pac-Islander","Male","Other","<=50K",34,13,40,1471
"626","Private","Separated","Prof-specialty","Unmarried","White","Female","USA",">50K",37,13,32,4934
"627","State-gov","Married","Adm-clerical","Husband","White","Male","USA","<=50K",41,9,40,3464
"628","Private","Divorced","Craft-repair","Not-in-family","White","Female","USA",">50K",51,16,60,4787
"629","Federal-gov","Married","Sales","Husband","White","Male","USA",">50K",38,13,42,7688
"630","Federal-gov","Never-married","Sales","Not-in-family","Black","Female","USA","<=50K",50,7,40,3674
"631","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",31,9,45,5178
"632","Private","Married","Machine-op-inspct","Husband","White","Male","USA","<=50K",44,6,60,4386
"633","Private","Married","Machine-op-inspct","Own-child","White","Female","USA","<=50K",23,9,40,2105
"634","Private","Married","Handlers-cleaners","Husband","Black","Male","Other",">50K",29,13,80,4386
"635","Local-gov","Never-married","Exec-managerial","Not-in-family","White","Female","USA",">50K",53,14,50,14344
"636","Self-emp-inc","Married","Prof-specialty","Husband","White","Male","USA",">50K",63,15,50,15024
"637","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",39,9,40,7298
"638","Private","Married","Adm-clerical","Husband","White","Male","USA","<=50K",43,10,40,5013
"639","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",37,14,45,15024
"640","Private","Married","Sales","Husband","White","Male","USA",">50K",48,13,50,4386
"641","Local-gov","Never-married","Prof-specialty","Not-in-family","White","Female","USA","<=50K",26,13,35,4865
"642","State-gov","Divorced","Prof-specialty","Unmarried","Black","Female","USA",">50K",49,14,40,7430
"643","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",46,13,40,15024
"644","Private","Widowed","Adm-clerical","Not-in-family","White","Female","USA","<=50K",69,9,40,1848
"645","State-gov","Separated","Adm-clerical","Unmarried","Black","Female","USA","<=50K",54,9,35,3887
"646","Local-gov","Married","Handlers-cleaners","Husband","White","Male","USA","<=50K",64,9,40,3471
"647","Private","Married","Machine-op-inspct","Husband","White","Male","USA",">50K",51,9,40,4386
"648","Private","Married","Adm-clerical","Husband","White","Male","USA",">50K",61,10,40,7688
"649","Private","Never-married","Craft-repair","Not-in-family","White","Male","USA","<=50K",26,13,40,3325
"650","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",35,13,47,4386
"651","Private","Married","Exec-managerial","Wife","White","Female","USA",">50K",39,15,47,15024
"652","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",62,13,40,3103
"653","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",53,10,40,15024
"654","State-gov","Never-married","Adm-clerical","Not-in-family","White","Female","USA","<=50K",31,12,35,3325
"655","State-gov","Never-married","Exec-managerial","Not-in-family","Asian-Pac-Islander","Female","USA","<=50K",35,13,45,2977
"656","Private","Never-married","Prof-specialty","Not-in-family","White","Male","USA",">50K",26,13,50,13550
"657","Private","Never-married","Sales","Not-in-family","White","Male","USA","<=50K",31,13,50,4101
"658","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",43,13,40,3103
"659","Private","Separated","Exec-managerial","Not-in-family","White","Male","USA",">50K",47,14,50,99999
"660","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",28,11,50,99999
"661","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",30,10,60,15024
"662","Self-emp-inc","Married","Sales","Husband","White","Male","USA",">50K",38,13,40,7688
"663","Private","Never-married","Adm-clerical","Not-in-family","White","Female","USA","<=50K",23,10,40,3674
"664","Local-gov","Never-married","Prof-specialty","Unmarried","White","Female","USA",">50K",70,14,50,7896
"665","State-gov","Divorced","Prof-specialty","Not-in-family","White","Male","USA","<=50K",34,13,55,4865
"666","Private","Married","Protective-serv","Husband","White","Male","USA","<=50K",33,9,16,2635
"667","Private","Married","Machine-op-inspct","Husband","White","Male","USA","<=50K",35,9,40,2885
"668","Self-emp-not-inc","Never-married","Adm-clerical","Not-in-family","White","Female","USA","<=50K",29,11,40,2174
"669","Self-emp-not-inc","Never-married","Farming-fishing","Not-in-family","White","Male","USA",">50K",51,9,40,8614
"670","Private","Divorced","Adm-clerical","Unmarried","White","Female","USA","<=50K",38,10,44,5721
"671","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",28,13,40,3103
"672","Federal-gov","Divorced","Protective-serv","Not-in-family","White","Male","USA","<=50K",32,12,40,2174
"673","Self-emp-inc","Divorced","Exec-managerial","Not-in-family","White","Male","USA","<=50K",30,9,40,4650
"674","Private","Married","Machine-op-inspct","Husband","White","Male","USA",">50K",48,9,40,4386
"675","Private","Married","Sales","Husband","White","Male","USA",">50K",32,15,60,15024
"676","Private","Married","Sales","Husband","White","Male","USA","<=50K",39,10,65,2829
"677","Private","Never-married","Craft-repair","Own-child","Asian-Pac-Islander","Male","Other",">50K",23,7,40,14344
"678","Self-emp-not-inc","Married","Transport-moving","Husband","White","Male","USA",">50K",29,9,40,5178
"679","Local-gov","Divorced","Exec-managerial","Unmarried","Black","Female","USA",">50K",48,14,40,9562
"680","Self-emp-inc","Married","Prof-specialty","Husband","Other","Male","USA",">50K",52,15,65,99999
"681","Self-emp-not-inc","Married","Farming-fishing","Husband","White","Male","USA","<=50K",67,6,80,2414
"682","State-gov","Married","Prof-specialty","Husband","White","Male","USA",">50K",47,16,50,15024
"683","Self-emp-inc","Married","Sales","Husband","White","Male","USA","<=50K",52,6,45,4064
"684","Private","Never-married","Other-service","Not-in-family","White","Male","USA","<=50K",22,10,40,3325
"685","Private","Never-married","Prof-specialty","Own-child","White","Female","USA","<=50K",25,14,31,2597
"686","Private","Married","Machine-op-inspct","Husband","White","Male","USA","<=50K",36,12,40,2829
"687","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",30,13,50,99999
"688","Self-emp-inc","Married","Sales","Husband","White","Male","USA",">50K",41,13,45,7688
"689","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",50,14,60,99999
"690","Private","Divorced","Other-service","Unmarried","Black","Female","USA","<=50K",39,9,40,5455
"691","Private","Married","Sales","Husband","White","Male","USA",">50K",36,9,40,7688
"692","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",55,13,48,15024
"693","Private","Divorced","Prof-specialty","Not-in-family","White","Female","USA","<=50K",56,9,40,4101
"694","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",57,9,40,15024
"695","Private","Married","Transport-moving","Husband","White","Male","USA",">50K",39,13,99,15024
"696","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",90,15,72,20051
"697","Local-gov","Married","Prof-specialty","Husband","White","Male","USA","<=50K",47,13,40,3137
"698","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",35,9,50,7688
"699","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",41,13,50,4386
"700","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",69,13,45,6418
"701","Local-gov","Married","Protective-serv","Husband","White","Male","USA",">50K",37,13,40,5178
"702","Private","Married","Sales","Husband","White","Male","USA",">50K",37,9,60,15024
"703","Federal-gov","Married","Adm-clerical","Wife","White","Female","USA",">50K",53,9,35,7688
"704","Private","Divorced","Craft-repair","Not-in-family","Asian-Pac-Islander","Male","USA",">50K",45,9,40,10520
"705","Self-emp-not-inc","Married","Farming-fishing","Husband","White","Male","USA","<=50K",32,9,40,4064
"706","Private","Married","Prof-specialty","Wife","Asian-Pac-Islander","Female","USA",">50K",32,15,50,15024
"707","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",43,11,48,3103
"708","Private","Married","Sales","Husband","White","Male","USA",">50K",90,13,15,9386
"709","Private","Never-married","Tech-support","Not-in-family","White","Female","USA","<=50K",23,10,40,4101
"710","Private","Married","Handlers-cleaners","Husband","White","Male","USA","<=50K",43,9,40,3908
"711","Private","Married","Sales","Husband","Black","Male","USA",">50K",56,13,45,7688
"712","Private","Married","Tech-support","Husband","White","Male","USA",">50K",50,13,40,15024
"713","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",41,15,50,15024
"714","Private","Married","Adm-clerical","Husband","White","Male","USA",">50K",24,10,40,7298
"715","Self-emp-not-inc","Married","Prof-specialty","Husband","White","Male","USA",">50K",34,15,60,7688
"716","Self-emp-not-inc","Married","Exec-managerial","Husband","Other","Male","Other",">50K",37,13,50,7298
"717","Self-emp-not-inc","Married","Sales","Husband","White","Male","USA",">50K",54,14,45,4386
"718","Private","Divorced","Exec-managerial","Not-in-family","White","Male","USA","<=50K",38,13,40,3325
"719","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",68,16,55,20051
"720","Private","Married","Sales","Husband","White","Male","USA","<=50K",35,10,40,4064
"721","Local-gov","Never-married","Prof-specialty","Not-in-family","White","Male","USA",">50K",44,15,40,10520
"722","Private","Never-married","Sales","Own-child","White","Female","USA","<=50K",21,9,40,4101
"723","Private","Never-married","Handlers-cleaners","Not-in-family","White","Male","USA","<=50K",21,9,60,3325
"724","Private","Married","Sales","Husband","White","Male","USA","<=50K",72,13,6,1455
"725","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",32,13,50,99999
"726","Private","Never-married","Exec-managerial","Not-in-family","White","Male","USA","<=50K",25,13,35,4101
"727","Private","Never-married","Prof-specialty","Not-in-family","White","Female","USA",">50K",41,14,35,27828
"728","Private","Married","Sales","Husband","White","Male","USA",">50K",46,13,40,99999
"729","Private","Separated","Prof-specialty","Own-child","White","Female","USA","<=50K",19,8,40,1055
"730","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",41,13,55,7688
"731","Private","Never-married","Machine-op-inspct","Not-in-family","Black","Female","USA",">50K",38,12,50,10520
"732","State-gov","Married","Craft-repair","Husband","White","Male","USA",">50K",35,9,40,7298
"733","Private","Married","Machine-op-inspct","Wife","White","Female","USA",">50K",31,9,40,4386
"734","Private","Married","Other-service","Wife","White","Female","USA","<=50K",59,7,28,3908
"735","Private","Married","Sales","Husband","White","Male","USA",">50K",43,13,45,15024
"736","Private","Married","Adm-clerical","Husband","White","Male","USA","<=50K",40,9,40,2829
"737","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",45,13,60,15024
"738","Private","Married","Exec-managerial","Wife","White","Female","USA","<=50K",64,10,35,10566
"739","Private","Married","Sales","Husband","White","Male","USA","<=50K",54,9,55,4064
"740","Private","Married","Transport-moving","Husband","White","Male","USA","<=50K",27,9,35,3908
"741","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",32,13,40,7688
"742","State-gov","Married","Prof-specialty","Wife","White","Female","USA",">50K",40,14,37,15024
"743","Self-emp-not-inc","Widowed","Other-service","Other-relative","White","Female","USA","<=50K",70,9,20,2329
"744","Local-gov","Divorced","Transport-moving","Unmarried","White","Male","USA","<=50K",40,10,40,6849
"745","Self-emp-inc","Divorced","Exec-managerial","Unmarried","White","Female","USA","<=50K",46,10,60,2036
"746","Private","Never-married","Handlers-cleaners","Unmarried","White","Female","Other","<=50K",37,9,40,3887
"747","Private","Married","Other-service","Not-in-family","White","Male","Other",">50K",42,16,60,27828
"748","Self-emp-not-inc","Never-married","Sales","Not-in-family","Black","Female","USA","<=50K",36,13,50,2174
"749","Federal-gov","Divorced","Adm-clerical","Not-in-family","White","Male","USA","<=50K",27,9,50,4865
"750","Local-gov","Never-married","Tech-support","Not-in-family","Black","Female","USA",">50K",43,14,47,8614
"751","Private","Married","Sales","Husband","White","Male","USA","<=50K",41,10,40,3942
"752","Private","Never-married","Craft-repair","Not-in-family","White","Male","USA",">50K",22,13,55,13550
"753","Private","Married","Sales","Husband","White","Male","USA",">50K",55,13,50,15024
"754","Private","Divorced","Prof-specialty","Unmarried","White","Male","USA","<=50K",60,10,42,3325
"755","Private","Divorced","Adm-clerical","Not-in-family","Black","Female","USA","<=50K",53,11,40,2202
"756","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",39,9,40,7298
"757","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",44,12,45,4386
"758","Private","Never-married","Machine-op-inspct","Own-child","White","Female","Other","<=50K",41,9,40,1831
"759","State-gov","Never-married","Adm-clerical","Not-in-family","White","Female","USA",">50K",37,13,40,8614
"760","Self-emp-not-inc","Married","Prof-specialty","Husband","White","Male","USA",">50K",49,15,35,99999
"761","Private","Married","Sales","Wife","White","Female","USA",">50K",26,13,42,5178
"762","Private","Married","Exec-managerial","Wife","White","Female","USA",">50K",24,13,45,7688
"763","Local-gov","Divorced","Prof-specialty","Unmarried","White","Female","USA","<=50K",47,14,45,5455
"764","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",48,13,50,7298
"765","Private","Married","Sales","Husband","White","Male","USA","<=50K",49,13,44,4064
"766","Private","Never-married","Exec-managerial","Not-in-family","White","Male","USA",">50K",35,13,45,8614
"767","Local-gov","Never-married","Prof-specialty","Not-in-family","White","Male","USA","<=50K",51,15,40,3325
"768","Private","Never-married","Tech-support","Not-in-family","White","Male","USA","<=50K",31,13,60,3325
"769","Private","Never-married","Exec-managerial","Not-in-family","White","Female","USA",">50K",38,14,50,10520
"770","Private","Married","Transport-moving","Husband","White","Male","USA",">50K",30,9,40,99999
"771","Local-gov","Married","Protective-serv","Husband","White","Male","USA",">50K",37,9,35,7688
"772","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",57,13,40,3103
"773","Private","Never-married","Tech-support","Not-in-family","White","Male","USA","<=50K",39,9,44,4650
"774","Self-emp-not-inc","Married","Craft-repair","Husband","White","Male","USA","<=50K",36,9,40,2885
"775","Private","Married","Exec-managerial","Husband","White","Male","Other",">50K",52,10,55,7688
"776","State-gov","Married","Prof-specialty","Not-in-family","Asian-Pac-Islander","Male","Other","<=50K",56,16,40,2885
"777","Private","Divorced","Adm-clerical","Not-in-family","White","Female","USA",">50K",58,13,40,14084
"778","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",59,10,50,15024
"779","Private","Married","Other-service","Husband","White","Male","USA","<=50K",38,8,40,3942
"780","Private","Married","Sales","Husband","White","Male","USA","<=50K",76,9,24,1424
"781","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",34,13,40,7688
"782","Self-emp-not-inc","Never-married","Exec-managerial","Not-in-family","Black","Male","USA",">50K",47,13,45,10520
"783","Private","Married","Sales","Husband","White","Male","Other",">50K",63,13,40,15024
"784","State-gov","Never-married","Other-service","Unmarried","Black","Female","USA","<=50K",33,9,40,1831
"785","Private","Widowed","Exec-managerial","Other-relative","White","Male","USA","<=50K",41,9,40,914
"786","Local-gov","Divorced","Prof-specialty","Unmarried","Black","Female","USA",">50K",43,14,40,9562
"787","Private","Married","Machine-op-inspct","Husband","White","Male","Other","<=50K",73,9,40,3471
"788","Private","Divorced","Sales","Not-in-family","Amer-Indian-Eskimo","Male","USA",">50K",28,9,40,14084
"789","Private","Never-married","Other-service","Own-child","White","Male","USA","<=50K",20,10,25,2176
"790","Private","Married","Prof-specialty","Wife","White","Female","USA",">50K",34,13,36,15024
"791","Private","Married","Craft-repair","Husband","White","Male","USA","<=50K",29,7,50,3942
"792","Private","Never-married","Sales","Other-relative","White","Female","USA","<=50K",18,9,30,1055
"793","State-gov","Married","Prof-specialty","Unmarried","White","Male","USA",">50K",43,16,64,25236
"794","Local-gov","Married","Prof-specialty","Wife","White","Female","USA",">50K",50,14,40,15024
"795","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",51,13,40,15024
"796","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",59,12,20,7298
"797","Private","Married","Prof-specialty","Husband","White","Male","USA","<=50K",24,13,40,3908
"798","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",36,14,50,15024
"799","Self-emp-not-inc","Married","Farming-fishing","Husband","White","Male","USA",">50K",48,10,60,7298
"800","Private","Never-married","Exec-managerial","Not-in-family","White","Male","USA",">50K",56,13,45,14084
"801","Private","Married","Sales","Husband","White","Male","USA","<=50K",40,4,40,4064
"802","Private","Married","Machine-op-inspct","Husband","White","Male","Other","<=50K",29,9,48,3137
"803","Private","Married","Exec-managerial","Husband","Asian-Pac-Islander","Male","Other",">50K",54,13,60,15024
"804","Private","Married","Other-service","Wife","White","Female","USA","<=50K",39,9,40,5013
"805","Federal-gov","Married","Prof-specialty","Husband","White","Male","USA",">50K",51,16,52,4386
"806","Private","Married","Tech-support","Husband","Asian-Pac-Islander","Male","USA",">50K",42,9,40,15024
"807","Private","Never-married","Adm-clerical","Not-in-family","White","Female","USA","<=50K",48,9,40,2463
"808","Private","Divorced","Adm-clerical","Not-in-family","White","Female","Other","<=50K",69,12,6,2964
"809","Self-emp-not-inc","Divorced","Prof-specialty","Unmarried","White","Male","USA",">50K",48,15,63,14084
"810","Private","Married","Handlers-cleaners","Husband","White","Male","USA","<=50K",32,9,40,2829
"811","Private","Married","Sales","Husband","White","Male","USA",">50K",32,13,60,99999
"812","Private","Divorced","Handlers-cleaners","Not-in-family","White","Male","USA","<=50K",43,9,16,594
"813","Private","Married","Craft-repair","Husband","White","Male","USA","<=50K",34,9,46,3908
"814","Private","Never-married","Sales","Not-in-family","White","Female","USA","<=50K",29,13,45,3325
"815","Local-gov","Divorced","Adm-clerical","Unmarried","Black","Female","USA","<=50K",45,10,35,6497
"816","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",65,15,60,20051
"817","Private","Married","Protective-serv","Husband","White","Male","USA",">50K",63,7,37,4386
"818","Private","Married","Machine-op-inspct","Husband","White","Male","USA","<=50K",31,9,40,5013
"819","Federal-gov","Married","Exec-managerial","Husband","White","Male","USA","<=50K",52,14,40,5013
"820","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",49,9,55,7688
"821","Private","Never-married","Protective-serv","Not-in-family","White","Female","USA","<=50K",23,13,40,2907
"822","Private","Married","Adm-clerical","Wife","White","Female","USA",">50K",35,10,20,7688
"823","Private","Married","Machine-op-inspct","Husband","Asian-Pac-Islander","Male","Other",">50K",47,10,40,3103
"824","Private","Married","Craft-repair","Husband","White","Male","Other",">50K",90,9,50,9386
"825","Private","Married","Craft-repair","Husband","White","Male","USA","<=50K",26,9,60,5013
"826","Local-gov","Married","Craft-repair","Husband","White","Male","USA","<=50K",69,9,6,1424
"827","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",38,9,50,7298
"828","Private","Married","Prof-specialty","Husband","Asian-Pac-Islander","Male","Other",">50K",59,15,40,99999
"829","Private","Never-married","Handlers-cleaners","Own-child","White","Male","USA","<=50K",18,9,25,2176
"830","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",40,14,50,15024
"831","State-gov","Married","Adm-clerical","Husband","White","Male","USA","<=50K",44,13,40,5013
"832","Self-emp-not-inc","Married","Craft-repair","Husband","White","Male","USA","<=50K",57,10,40,3137
"833","Self-emp-inc","Divorced","Sales","Not-in-family","White","Male","USA","<=50K",58,11,56,2202
"834","Private","Never-married","Prof-specialty","Not-in-family","White","Male","USA","<=50K",33,13,50,2202
"835","Private","Married","Sales","Husband","White","Male","USA",">50K",36,10,45,7688
"836","Local-gov","Married","Exec-managerial","Husband","White","Male","USA",">50K",42,10,40,15024
"837","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",36,13,40,7688
"838","Self-emp-inc","Married","Sales","Husband","White","Male","USA",">50K",46,13,72,99999
"839","Private","Divorced","Transport-moving","Not-in-family","White","Male","USA","<=50K",34,10,40,2174
"840","Private","Married","Prof-specialty","Wife","White","Female","USA",">50K",30,13,50,7688
"841","Private","Married","Transport-moving","Husband","White","Male","USA",">50K",67,10,10,10605
"842","Local-gov","Married","Exec-managerial","Husband","White","Male","USA",">50K",45,16,45,7688
"843","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",58,9,40,7688
"844","Private","Never-married","Prof-specialty","Other-relative","Black","Female","USA","<=50K",20,10,20,594
"845","Private","Divorced","Prof-specialty","Not-in-family","White","Male","USA",">50K",65,10,50,11678
"846","Private","Divorced","Other-service","Not-in-family","White","Male","USA",">50K",29,9,40,10520
"847","Federal-gov","Married","Adm-clerical","Husband","White","Male","USA",">50K",37,10,40,7688
"848","Private","Married","Sales","Husband","White","Male","USA","<=50K",35,10,70,5013
"849","Private","Married","Tech-support","Husband","White","Male","USA",">50K",50,11,40,3103
"850","Private","Never-married","Machine-op-inspct","Own-child","White","Male","USA","<=50K",21,9,40,2176
"851","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",32,9,40,99999
"852","Private","Never-married","Machine-op-inspct","Own-child","White","Male","USA","<=50K",25,9,40,4416
"853","Self-emp-not-inc","Married","Prof-specialty","Wife","White","Female","USA",">50K",33,11,50,3103
"854","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",36,13,50,15024
"855","Private","Married","Prof-specialty","Husband","White","Male","USA","<=50K",35,13,40,5013
"856","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",32,10,50,15024
"857","Self-emp-not-inc","Married","Machine-op-inspct","Husband","White","Male","USA",">50K",47,9,40,7298
"858","State-gov","Married","Exec-managerial","Husband","White","Male","USA",">50K",53,14,38,15024
"859","Private","Never-married","Handlers-cleaners","Not-in-family","White","Male","USA","<=50K",21,9,50,3674
"860","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",36,9,40,5178
"861","Private","Never-married","Protective-serv","Not-in-family","Black","Female","USA",">50K",21,10,40,99999
"862","Self-emp-inc","Married","Prof-specialty","Husband","White","Male","USA",">50K",56,16,70,99999
"863","Private","Married","Tech-support","Husband","White","Male","USA",">50K",54,9,25,7688
"864","Local-gov","Married","Prof-specialty","Husband","White","Male","USA",">50K",60,13,40,7298
"865","State-gov","Never-married","Prof-specialty","Own-child","White","Male","USA","<=50K",28,13,40,6849
"866","Federal-gov","Widowed","Other-service","Unmarried","Black","Female","USA","<=50K",66,11,40,3273
"867","Federal-gov","Married","Adm-clerical","Husband","White","Male","USA","<=50K",45,13,45,5013
"868","Private","Married","Craft-repair","Husband","White","Male","Other",">50K",54,10,40,3103
"869","Private","Divorced","Exec-managerial","Not-in-family","White","Male","USA","<=50K",49,10,50,3325
"870","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",48,13,60,7298
"871","Self-emp-not-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",46,15,55,15024
"872","Local-gov","Married","Craft-repair","Husband","White","Male","USA","<=50K",52,6,40,5013
"873","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",48,13,65,7688
"874","Private","Divorced","Other-service","Not-in-family","Black","Male","USA",">50K",40,10,50,4787
"875","Self-emp-inc","Married","Prof-specialty","Husband","White","Male","USA",">50K",52,14,60,15024
"876","Private","Married","Farming-fishing","Husband","White","Male","USA","<=50K",24,4,50,2105
"877","Private","Married","Machine-op-inspct","Wife","Asian-Pac-Islander","Female","Other","<=50K",32,1,40,4508
"878","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA","<=50K",28,13,55,5013
"879","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",42,9,40,5178
"880","Private","Never-married","Prof-specialty","Not-in-family","White","Male","USA","<=50K",25,13,30,3674
"881","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",32,11,42,7298
"882","Local-gov","Married","Prof-specialty","Husband","White","Male","USA",">50K",47,14,45,7688
"883","Self-emp-inc","Married","Exec-managerial","Husband","Black","Male","USA",">50K",62,9,72,20051
"884","Private","Divorced","Adm-clerical","Unmarried","White","Female","USA",">50K",51,9,24,4787
"885","Private","Never-married","Tech-support","Not-in-family","White","Female","USA",">50K",37,9,35,14084
"886","Private","Married","Prof-specialty","Husband","White","Male","USA","<=50K",66,14,20,2936
"887","Self-emp-inc","Married","Sales","Husband","White","Male","USA","<=50K",70,10,40,10566
